videoid,duration,page_dir,name
187231960,PT00H00M01S,054908_280680
572419962,PT00H00M18S,806310_427024
1935309850,PT00H00M01S,112932_879235
814163307,PT00H00M09S,917322_040008
713389125,PT00H00M01S,562249_589634
111457958,PT00H00M02S,357353_893478
724167263,PT00H00M01S,167419_141619
1506867353,PT00H00M01S,588212_350011
3587483,PT00H00M01S,257073_171733
1661267550,PT00H00M02S,949911_457469
1283335074,PT00H00M06S,091870_921311
14162744,PT00H00M09S,395937_073272
962763546,PT00H00M02S,330783_767599
94247591,PT00H00M01S,106994_949380
305318640,PT00H00M04S,097271_699546
1946925818,PT00H00M07S,132383_828451
1956680907,PT00H00M01S,022268_305977
1024185171,PT00H00M01S,451557_601262
1799242641,PT00H00M01S,278210_492090
655191104,PT00H00M01S,038529_806140
1721200818,PT00H00M01S,360147_547011
1763668453,PT00H00M01S,506422_216912
1131884833,PT00H00M01S,638481_669785
677022467,PT00H00M01S,592251_848653
1917576856,PT00H00M02S,013158_417583
1101126820,PT00H00M01S,806648_677543
1156461672,PT00H00M04S,455488_718104
1431636361,PT00H00M03S,669362_835157
1789950758,PT00H00M02S,625481_933336
1435528869,PT00H00M03S,509752_545899
1095358865,PT00H00M01S,439874_392715
1619574552,PT00H00M02S,033389_888503
1558703411,PT00H00M03S,676805_190280
1962039663,PT00H00M02S,860032_086623
562398595,PT00H00M05S,510558_690041
723521928,PT00H00M05S,178391_351169
1898196444,PT00H00M10S,581125_410196
980899821,PT00H00M06S,076851_758240
1672328345,PT00H00M03S,406487_601011
406007266,PT00H00M08S,352433_017101
1785855699,PT00H00M05S,614678_092440
27550303,PT00H00M05S,658839_381174
492052423,PT00H00M04S,939681_369009
1075905692,PT00H00M05S,425428_557840
1952391802,PT00H00M02S,758817_864122
617836023,PT00H00M02S,062628_669832
1352894750,PT00H00M05S,518814_801309
1168596416,PT00H00M05S,755285_244710
330200687,PT00H00M05S,507314_186217
813016188,PT00H00M02S,562436_466092
94768156,PT00H00M07S,788163_483704
979983381,PT00H00M02S,010646_141273
550533939,PT00H00M03S,202561_022030
1470954065,PT00H00M01S,837696_369149
1362081081,PT00H00M02S,285140_455364
233261465,PT00H00M02S,440777_000373
1095904461,PT00H00M01S,647585_065651
