videoid,duration,page_dir,name
12638743,PT00H00M02S,880671_094446,
341234165,PT00H00M06S,149108_802685,
207849489,PT00H00M02S,083426_454961,
1494555330,PT00H00M02S,772176_743816,
1805866325,PT00H00M01S,087411_050871,
827542057,PT00H00M02S,166680_288787,
1387428124,PT00H00M02S,632508_019553,
80979306,PT00H00M02S,098060_933497,
1364275797,PT00H00M01S,305243_156750,
1828388823,PT00H00M02S,126410_945207,
1463267598,PT00H00M01S,870262_524418,
1402047247,PT00H00M01S,495274_144947,
272186134,PT00H00M02S,491501_242310,
1430354887,PT00H00M01S,722079_489078,
1885696127,PT00H00M06S,790439_993666,
1616982764,PT00H00M07S,308547_723985,
1893312900,PT00H00M17S,210657_461936,
64204130,PT00H00M05S,712679_974816,
1296895163,PT00H00M05S,251683_414559,
184070783,PT00H00M01S,750357_726588,
212581029,PT00H00M12S,662818_825552,
405797054,PT00H00M01S,301441_824532,
1504853571,PT00H00M01S,193105_516501,
1750035169,PT00H00M02S,088399_633105,
88110925,PT00H00M03S,970804_375683,
845372711,PT00H00M04S,869173_022323,
1791671679,PT00H00M10S,296047_755506,
1037626263,PT00H00M08S,537212_843693,
1621384987,PT00H00M03S,803814_958649,
1857802459,PT00H00M05S,729526_545538,
1953947105,PT00H00M03S,176638_914239,
1176689906,PT00H00M20S,945062_832030,
1398475192,PT00H00M19S,708292_259529,
298834923,PT00H00M05S,499820_287876,
872474566,PT00H00M05S,447025_274323,
447257351,PT00H00M04S,044531_205837,
1554086778,PT00H00M05S,966254_674817,
1102493328,PT00H00M06S,882994_836867,
1495865365,PT00H00M01S,577156_470783,
1648597860,PT00H00M04S,589846_552416,
1692669337,PT00H00M02S,008107_700389,
1071306916,PT00H00M02S,092129_159067,
340998619,PT00H00M01S,671367_603203,
896471205,PT00H00M01S,717787_339426,
1756240733,PT00H00M02S,846699_919363,
55343113,PT00H00M02S,129792_695978,
485368781,PT00H00M13S,702233_255152,
1481262273,PT00H00M05S,721476_149340,
688959099,PT00H00M05S,048732_896884,
945838505,PT00H00M07S,648817_968471,
1006616448,PT00H00M07S,596852_230809,
809939287,PT00H00M04S,803441_848466,
1060477567,PT00H00M03S,845593_209193,
1228243843,PT00H00M02S,345772_328699,
807454302,PT00H00M03S,172699_031625,
1707057290,PT00H00M04S,670264_058815,
1495906108,PT00H00M02S,834459_393574,
335386283,PT00H00M01S,893502_378831,
539534246,PT00H00M10S,449683_155271,
169135461,PT00H00M01S,017520_789567,
180040344,PT00H00M07S,314577_460519,
974395229,PT00H00M03S,595454_496515,
1398054421,PT00H00M03S,738762_283106,
593187777,PT00H00M01S,245782_351407,
1321956541,PT00H00M01S,557864_437582,
414372619,PT00H00M02S,218660_597608,
869586099,PT00H00M04S,918063_486192,
1004228187,PT00H00M01S,595841_305504,
888080366,PT00H00M01S,762545_697154,
1661905682,PT00H00M02S,868144_688326,
966768436,PT00H00M04S,060725_348508,
1037923334,PT00H00M05S,805673_820769,
954994460,PT00H00M04S,921593_250641,
1974969713,PT00H00M01S,743932_084868,
934052378,PT00H00M01S,359907_818137,
5822132,PT00H00M01S,811353_283908,
271649962,PT00H00M01S,458321_094755,
1299387905,PT00H00M01S,745070_916091,
1430133540,PT00H00M02S,423056_826612,
191371519,PT00H00M03S,852863_506673,
326208649,PT00H00M01S,800597_995807,
1242121407,PT00H00M03S,335269_938755,
66170935,PT00H00M05S,203556_988006,
341821266,PT00H00M01S,243924_897704,
1415002582,PT00H00M04S,719300_024618,
722964618,PT00H00M01S,135169_151055,
1592145436,PT00H00M03S,176914_818145,
983641076,PT00H00M07S,639307_607158,
1287587468,PT00H00M01S,527660_552248,
1248455650,PT00H00M02S,843347_978004,
157332929,PT00H00M06S,816472_626810,
1486483846,PT00H00M01S,446658_682498,
423335181,PT00H00M02S,186790_916514,
751943399,PT00H00M01S,864642_944820,
1036544305,PT00H00M06S,364781_228373,
745093406,PT00H00M07S,888942_330253,
1076103525,PT00H00M03S,891201_921849,
539283154,PT00H00M02S,119350_270105,
106263149,PT00H00M06S,905884_325850,
499053576,PT00H00M06S,178655_486780,
566583476,PT00H00M03S,260255_665143,
1512588697,PT00H00M03S,482881_866412,
877240557,PT00H00M05S,696394_075119,
1740007865,PT00H00M03S,888846_642783,
684767289,PT00H00M02S,326850_438553,
156604264,PT00H00M01S,981413_638003,
753744301,PT00H00M01S,011662_012964,
113580573,PT00H00M05S,036093_229657,
1625453528,PT00H00M04S,436045_288791,
1534084648,PT00H00M01S,648710_048314,
59944483,PT00H00M04S,673096_429394,
270757980,PT00H00M04S,669397_728219,
604821210,PT00H00M07S,983098_650800,
713353868,PT00H00M02S,542619_392406,
778390485,PT00H00M01S,351730_081282,
1566080835,PT00H00M05S,342294_726452,
144172537,PT00H00M04S,233715_159113,
1360424356,PT00H00M03S,150092_693647,
241470976,PT00H00M02S,133929_871599,
1641811910,PT00H00M02S,315563_740817,
265109393,PT00H00M04S,200092_319892,
896306724,PT00H00M04S,942308_441453,
1747008308,PT00H00M03S,243310_132347,
1201966217,PT00H00M03S,089370_088269,
1316441989,PT00H00M01S,492141_185843,
519557152,PT00H00M04S,562791_195594,
481010956,PT00H00M01S,736543_293132,
1848044491,PT00H00M03S,248502_175167,
1638003236,PT00H00M01S,676463_155858,
1391287587,PT00H00M01S,942567_203842,
11520291,PT00H00M03S,084055_168166,
136895784,PT00H00M06S,649601_743450,
1700367317,PT00H00M03S,395784_048489,
959533712,PT00H00M05S,277074_884746,
1153895321,PT00H00M07S,150972_626252,
276880305,PT00H00M04S,347563_924678,
533562680,PT00H00M02S,411075_333471,
1154428163,PT00H00M04S,032850_104289,
1240572975,PT00H00M03S,538535_179580,
1623403138,PT00H00M06S,844885_797035,
472243826,PT00H00M04S,661852_149618,
1046970339,PT00H00M02S,113899_491476,
1468812426,PT00H00M03S,048863_138521,
727620051,PT00H00M03S,938844_460740,
846733570,PT00H00M05S,209398_484692,
1290854912,PT00H00M03S,812679_273899,
158811641,PT00H00M08S,118421_773288,
1688694323,PT00H00M05S,235935_173446,
345111120,PT00H00M01S,329871_508536,
1189437666,PT00H00M09S,005234_901651,
1063312552,PT00H00M02S,577110_948612,
105981176,PT00H00M01S,264628_433874,
724099460,PT00H00M07S,684305_080711,
1918914490,PT00H00M03S,364133_016834,
1732546062,PT00H00M04S,262918_893141,
1127357868,PT00H00M04S,898798_793905,
1499302146,PT00H00M03S,934283_477990,
391420604,PT00H00M12S,313770_777981,
884796999,PT00H00M12S,851321_412051,
391060172,PT00H00M06S,671575_666590,
145286135,PT00H00M01S,291022_870478,
1942343391,PT00H00M05S,481109_379093,
1898634346,PT00H00M03S,734139_198158,
741894203,PT00H00M48S,834875_569513,
325720335,PT00H00M07S,480696_060142,
1853347201,PT00H00M05S,074211_050041,
283437456,PT00H00M01S,001726_269576,
339126034,PT00H00M14S,175249_820305,
1372895202,PT00H00M03S,488062_607337,
1126464164,PT00H00M03S,483879_889090,
1264835124,PT00H00M07S,095609_953150,
1394357958,PT00H00M04S,557092_593423,
1096807856,PT00H00M01S,015171_615138,
53295886,PT00H00M11S,846010_107844,
946095533,PT00H00M02S,013165_872542,
1258632521,PT00H00M06S,405437_791485,
245652054,PT00H00M01S,254745_618145,
1302775147,PT00H00M06S,866589_842168,
786379635,PT00H00M03S,437764_988234,
1671518093,PT00H00M01S,242467_910785,
1072369323,PT00H00M01S,581041_868353,
600594633,PT00H00M02S,344614_889957,
959772189,PT00H00M04S,322436_427910,
1597383591,PT00H00M05S,450431_269569,
1818817209,PT00H00M10S,372178_262099,
780320554,PT00H00M01S,483923_267078,
1977496295,PT00H00M08S,743284_413114,
1011780070,PT00H00M09S,432969_784356,
1152558832,PT00H00M01S,364771_333924,
1108207155,PT00H00M01S,774001_236365,
794173301,PT00H00M05S,106810_866998,
1434223349,PT00H00M02S,255471_141841,
674617764,PT00H00M02S,559572_021536,
1445724766,PT00H00M03S,109534_664281,
1199104890,PT00H00M01S,522033_041891,
1997824147,PT00H00M04S,791566_006942,
343712595,PT00H00M01S,335569_077206,
1415030707,PT00H00M01S,660461_420297,
485847876,PT00H00M02S,003331_141222,
1007704822,PT00H00M05S,518953_201278,
1536484234,PT00H00M02S,869027_044467,
532779407,PT00H00M05S,524382_980167,
1696201368,PT00H00M07S,640897_702546,
1317628323,PT00H00M03S,727541_108269,
1311502094,PT00H00M01S,569435_519091,
1244599334,PT00H00M04S,601041_630942,
1811843302,PT00H00M04S,833739_704704,
306796462,PT00H00M01S,928558_776841,
917923074,PT00H00M02S,005909_051774,
235920265,PT00H00M01S,510787_394981,
742027444,PT00H00M01S,244712_338979,
1405416830,PT00H00M02S,540750_611404,
40617437,PT00H00M08S,794192_548191,
1479048800,PT00H00M01S,264987_444169,
685106924,PT00H00M02S,137595_387917,
808646506,PT00H00M04S,470291_174741,
40846180,PT00H00M04S,155688_472042,
1819885699,PT00H00M05S,207208_002958,
1592730670,PT00H00M01S,095440_079966,
1114403610,PT00H00M02S,661649_339363,
