1663289928,PT00H00M20S,326081_680052,
1488294197,PT00H00M02S,398745_998921,
1237149676,PT00H00M08S,189925_880467,
702851529,PT00H00M01S,443975_183236,
1149299265,PT00H00M02S,236409_375152,
1252148285,PT00H00M05S,759420_612337,
397508646,PT00H00M01S,714441_039226,
1372643778,PT00H00M06S,795757_458679,
983745160,PT00H00M09S,358258_815089,
235876606,PT00H00M02S,819716_750117,
39577218,PT00H00M05S,019338_521878,
1492447930,PT00H00M07S,655311_979760,
134614416,PT00H00M14S,059792_420920,
204891732,PT00H00M04S,171669_750580,
1390312980,PT00H00M04S,138776_352124,
548703893,PT00H00M02S,199638_923237,
1614043742,PT00H00M06S,253800_198946,
49423619,PT00H00M01S,258266_463849,
1088498145,PT00H00M10S,038010_073413,
707770514,PT00H00M01S,227925_500186,
1486804135,PT00H00M01S,579505_144597,
1069003256,PT00H00M01S,172783_771229,
1247450036,PT00H00M02S,777923_502033,
510812511,PT00H00M02S,702845_652257,
233905272,PT00H00M02S,120550_443366,
1417578505,PT00H00M01S,483790_066646,
1819675169,PT00H00M01S,778507_368072,
1880500909,PT00H00M04S,912353_693165,
1965533925,PT00H00M04S,075781_149603,
1145449579,PT00H00M08S,473023_612798,
1193503871,PT00H00M01S,242200_860854,
478811343,PT00H00M05S,146695_261182,
182818148,PT00H00M02S,257165_172040,
1647067630,PT00H00M01S,913084_278673,
203954853,PT00H00M19S,654360_321316,
8910047,PT00H00M01S,253927_246402,
800278947,PT00H00M02S,714465_269606,
1886711063,PT00H00M02S,961993_380442,
1104007874,PT00H00M03S,121118_250674,
30301387,PT00H00M01S,961505_326949,
1508231773,PT00H00M02S,842635_066545,
600509564,PT00H00M03S,774282_742893,
1439826310,PT00H00M01S,082694_809607,
1399125151,PT00H00M02S,725319_545373,
851309561,PT00H00M05S,831433_541522,
1827559606,PT00H00M08S,257146_385601,
1000817384,PT00H00M06S,350641_958690,
449566836,PT00H00M02S,901990_648235,
1042598751,PT00H00M01S,582700_458087,
1680120789,PT00H00M05S,040598_077430,
1796320565,PT00H00M03S,805545_057825,
1933225487,PT00H00M07S,113201_105728,
422935923,PT00H00M02S,496630_409732,
1501936208,PT00H00M02S,548781_879827,
1578481346,PT00H00M04S,555084_752196,
1179852010,PT00H00M03S,011000_962308,
437363339,PT00H00M05S,760273_695658,
1942453972,PT00H00M04S,363829_763034,
1500065314,PT00H00M06S,160075_135551,
1217735063,PT00H00M01S,898800_922722,
1869528763,PT00H00M02S,171810_653311,
1494862708,PT00H00M03S,607245_672174,
557801061,PT00H00M07S,317310_896558,
1855074194,PT00H00M02S,066028_977482,
1858252461,PT00H00M03S,468592_019117,
1827303540,PT00H00M09S,094328_287817,
562288209,PT00H00M03S,525738_080982,
1565448198,PT00H00M01S,430957_698065,
994572874,PT00H00M02S,839751_698859,
271281239,PT00H00M05S,355058_128789,
296086344,PT00H00M02S,487157_701490,
