videoid,duration,page_dir,name
137390248,PT00H00M02S,239844_442201,
1265394341,PT00H00M07S,765911_069056,
380018032,PT00H00M08S,420766_070248,
248360094,PT00H00M06S,517569_693070,
1402882599,PT00H00M29S,013921_611778,
1897000140,PT00H00M02S,392634_145540,
1484204644,PT00H00M01S,338568_934182,
1456319892,PT00H00M02S,171026_723455,
325186453,PT00H00M03S,044983_249664,
1445292958,PT00H00M02S,851793_631710,
1638316301,PT00H00M09S,651559_766244,
1506762079,PT00H00M01S,158982_551731,
823528309,PT00H00M06S,718911_441784,
906974948,PT00H00M01S,719766_399559,
136401129,PT00H00M06S,791767_241338,
1259090952,PT00H00M08S,363200_846611,
623867228,PT00H00M03S,203789_640156,
327994029,PT00H00M01S,234454_756522,
1085852120,PT00H00M03S,734734_560401,
1892707074,PT00H00M03S,347709_307869,
891455330,PT00H00M04S,732953_091000,
524263176,PT00H00M07S,831586_368920,
614565511,PT00H00M03S,846151_744806,
1429251542,PT00H00M08S,302075_320973,
58968224,PT00H00M03S,860257_523870,
553904235,PT00H00M02S,187776_478516,
1884117356,PT00H00M06S,851753_742137,
1525120237,PT00H00M02S,509030_266275,
1277552927,PT00H00M03S,153742_676919,
1405769911,PT00H00M10S,333389_114848,
626123117,PT00H00M10S,996444_032864,
1498993428,PT00H00M05S,518820_477992,
223831477,PT00H00M02S,781789_741116,
1307443001,PT00H00M02S,437351_516398,
769023049,PT00H00M06S,164791_946548,
860668173,PT00H00M05S,791979_173996,
743100737,PT00H00M05S,742410_022662,
348559562,PT00H00M03S,348418_378719,
1378121913,PT00H00M05S,026590_886086,
335497292,PT00H00M05S,310018_098603,
1807830060,PT00H00M05S,910642_571666,
1887041471,PT00H00M05S,996110_401232,
1350236128,PT00H00M11S,722265_487049,
185697621,PT00H00M01S,405454_300079,
402632658,PT00H00M05S,587352_957090,
582851534,PT00H00M06S,690675_655461,
506752201,PT00H00M05S,953647_358056,
736506277,PT00H00M01S,924174_445018,
1999882652,PT00H00M05S,708079_357812,
563917060,PT00H00M03S,934297_205416,
1300954658,PT00H00M02S,002955_493759,
261768115,PT00H00M02S,483586_211307,
1455231277,PT00H00M04S,209398_402571,
1295618404,PT00H00M05S,199210_380524,
1631378457,PT00H00M03S,487424_085672,
1400864861,PT00H00M06S,753890_105965,
1496160285,PT00H00M04S,121796_075659,
806294908,PT00H00M04S,698771_074753,
1631069730,PT00H00M03S,940476_395414,
763698111,PT00H00M08S,138020_172366,
343792275,PT00H00M01S,391662_560195,
1003996285,PT00H00M09S,981339_275316,
942186283,PT00H00M02S,468175_291537,
233323859,PT00H00M04S,572893_030983,
1936439231,PT00H00M06S,856703_422611,
1501783978,PT00H00M05S,421897_589641,
150644129,PT00H00M11S,600891_100290,
1787426774,PT00H00M06S,010021_435650,
1953777167,PT00H00M03S,913815_849065,
981222479,PT00H00M02S,816795_407271,
1246295782,PT00H00M02S,736577_951219,
1616850753,PT00H00M11S,446995_330498,
818260404,PT00H00M05S,543893_769875,
1814678334,PT00H00M05S,983586_309052,
1446563824,PT00H00M03S,922435_844184,
327605712,PT00H00M03S,636670_451126,
1374552357,PT00H00M01S,900757_654178,
475329415,PT00H00M04S,730589_675745,
1532038758,PT00H00M01S,743786_327921,
37357020,PT00H00M01S,381669_209221,
98746182,PT00H00M03S,447125_822479,
467881816,PT00H00M04S,837403_244218,
378839284,PT00H00M02S,063271_135165,
1181953493,PT00H00M02S,732062_793599,
235346098,PT00H00M02S,756040_461361,
129293267,PT00H00M08S,749209_147452,
851460026,PT00H00M03S,725095_844112,
655205498,PT00H00M07S,606032_413372,
1063312271,PT00H00M08S,012622_799939,
818619542,PT00H00M04S,458331_280888,
674738640,PT00H00M02S,241324_944489,
1594394399,PT00H00M02S,985511_326166,
1641500408,PT00H00M02S,483964_453904,
233559414,PT00H00M04S,839671_734526,
682013303,PT00H00M03S,290723_983519,
984494676,PT00H00M03S,990970_381317,
1895626229,PT00H00M02S,669081_956156,
1829234464,PT00H00M08S,026032_575047,
1965364153,PT00H00M09S,798487_259838,
1377397085,PT00H00M01S,682451_595579,
656830975,PT00H00M02S,265188_404505,
1607882578,PT00H00M01S,995646_481340,
1589870276,PT00H00M03S,941892_427830,
1264128933,PT00H00M01S,061131_449984,
1342146178,PT00H00M06S,669076_625528,
1131263935,PT00H00M08S,455437_535981,
1285664093,PT00H00M02S,855910_305562,
139824327,PT00H00M11S,123158_343664,
570525184,PT00H00M22S,730493_402479,
1321925260,PT00H00M05S,459209_513542,
685027540,PT00H00M06S,860996_895123,
968000605,PT00H00M04S,799785_155795,
887981342,PT00H00M03S,122408_523206,
1360153132,PT00H00M01S,095825_344019,
1064261763,PT00H00M04S,200633_320456,
1068341388,PT00H00M03S,350148_676116,
1663052988,PT00H00M02S,166234_773510,
1500324275,PT00H00M03S,787498_972582,
750280218,PT00H00M01S,804122_786666,
892145211,PT00H00M05S,868077_990438,
536839683,PT00H00M05S,868096_503949,
198699136,PT00H00M02S,202361_261746,
182799534,PT00H00M04S,016069_464035,
1418713313,PT00H00M07S,537870_036586,
361194980,PT00H00M02S,429800_298041,
1369009622,PT00H00M02S,466080_373818,
1279030571,PT00H00M03S,875263_836637,
1089161648,PT00H00M07S,171306_825561,
304864238,PT00H00M04S,374443_847964,
946164503,PT00H00M06S,670790_839886,
1481278568,PT00H00M03S,214458_110717,
770276720,PT00H00M04S,232839_888672,
1921099012,PT00H00M04S,227098_308273,
34149106,PT00H00M02S,187070_663137,
1330929175,PT00H00M04S,356285_173482,
1414295582,PT00H00M03S,844447_748946,
1431210908,PT00H00M02S,620041_966909,
102699773,PT00H00M09S,021444_776740,
357800203,PT00H00M02S,271974_695873,
1695719175,PT00H00M02S,688529_278464,
363231530,PT00H00M03S,097611_598489,
1084925955,PT00H00M03S,664810_780066,
831098817,PT00H00M08S,299890_347240,
656452626,PT00H00M03S,625783_199872,
1715315469,PT00H00M01S,843813_693663,
758055589,PT00H00M10S,410942_547893,
1177273828,PT00H00M05S,462105_047499,
270960735,PT00H00M05S,757093_476556,
836138833,PT00H00M03S,863988_206079,
673595860,PT00H00M05S,915967_456666,
1469084669,PT00H00M05S,688228_544202,
1108463855,PT00H00M02S,949142_348531,
1635852818,PT00H00M06S,291149_619588,
849702788,PT00H00M06S,926547_557796,
631036884,PT00H00M04S,393239_824706,
1675748346,PT00H00M05S,869649_804571,
476799244,PT00H00M02S,918413_979950,
9491324,PT00H00M05S,993154_838843,
301777217,PT00H00M04S,481291_424204,
1263644522,PT00H00M05S,672827_890322,
570575401,PT00H00M02S,184810_416807,
1176604727,PT00H00M05S,337284_793718,
975679976,PT00H00M04S,726685_763971,
1929346017,PT00H00M08S,302993_608705,
12249880,PT00H00M03S,369544_910766,
108694167,PT00H00M04S,334941_831788,
